Month,Accuracy_Pct
1,95.11
2,95.71
3,99.47
4,97.57
5,96.41
6,96.85
7,94.67
8,95.24
9,95.86
10,97.24
11,95.27
12,95.21
13,94.39
14,97.47
15,95.26
16,98.98
17,98.73
18,94.39
19,95.31
20,97.68
21,95.18
22,94.73
23,99.15
24,97.14
25,96.6
26,98.32
27,98.44
28,95.05
29,94.53
30,96.37
31,96.33
32,96.57
33,98.01
34,97.7
35,99.41
36,94.54
37,96.21
38,95.87
39,98.74
40,95.37
41,95.05
42,96.47
43,96.32
44,95.53
45,95.37
46,99.08
47,96.44
48,98.74
49,97.03
50,94.28
51,99.5
52,98.6
53,99.33
54,99.1
55,98.67
56,94.91
57,96.67
58,95.18
59,96.21
60,94.32
