Weekly_Workload,Closure_Rate_Pct
174.0,76.83
96.1,84.77
162.3,71.78
68.7,85.02
153.3,72.89
125.1,68.63
124.1,81.36
114.8,81.91
98.3,83.19
194.3,73.87
175.4,63.03
199.9,65.42
150.8,76.72
163.4,76.81
120.6,74.07
77.2,76.67
137.8,74.61
63.7,83.0
102.2,79.01
178.7,80.01
99.5,81.63
191.8,68.12
172.0,69.12
97.2,81.63
98.5,88.18
127.2,78.79
198.2,67.79
112.0,76.33
78.1,80.19
143.8,84.16
164.0,77.14
189.2,78.35
115.7,80.3
196.0,69.07
141.3,78.24
132.6,82.01
132.8,92.05
186.9,81.18
119.2,87.68
124.8,86.39
157.5,72.11
175.2,73.75
197.0,71.6
107.5,88.42
188.3,62.14
179.6,72.92
91.4,85.32
190.1,67.17
126.2,81.61
94.8,79.94
