Case_File,Reviewer,Review_Round,Completeness_Score
CF-2026-001,Supervisor_Adams,1,92.5
CF-2026-001,Supervisor_Adams,2,93.0
CF-2026-001,Supervisor_Adams,3,92.8
CF-2026-001,Supervisor_Baker,1,92.3
CF-2026-001,Supervisor_Baker,2,92.7
CF-2026-001,Supervisor_Baker,3,93.1
CF-2026-001,Supervisor_Chen,1,92.6
CF-2026-001,Supervisor_Chen,2,92.4
CF-2026-001,Supervisor_Chen,3,92.9
CF-2026-002,Supervisor_Adams,1,88.2
CF-2026-002,Supervisor_Adams,2,88.5
CF-2026-002,Supervisor_Adams,3,88.3
CF-2026-002,Supervisor_Baker,1,88.6
CF-2026-002,Supervisor_Baker,2,88.1
CF-2026-002,Supervisor_Baker,3,88.4
CF-2026-002,Supervisor_Chen,1,88.3
CF-2026-002,Supervisor_Chen,2,88.5
CF-2026-002,Supervisor_Chen,3,88.2
CF-2026-003,Supervisor_Adams,1,95.8
CF-2026-003,Supervisor_Adams,2,96.1
CF-2026-003,Supervisor_Adams,3,95.9
CF-2026-003,Supervisor_Baker,1,95.7
CF-2026-003,Supervisor_Baker,2,96.0
CF-2026-003,Supervisor_Baker,3,96.2
CF-2026-003,Supervisor_Chen,1,95.9
CF-2026-003,Supervisor_Chen,2,95.8
CF-2026-003,Supervisor_Chen,3,96.1
CF-2026-004,Supervisor_Adams,1,84.5
CF-2026-004,Supervisor_Adams,2,84.8
CF-2026-004,Supervisor_Adams,3,84.6
CF-2026-004,Supervisor_Baker,1,84.4
CF-2026-004,Supervisor_Baker,2,84.7
CF-2026-004,Supervisor_Baker,3,84.9
CF-2026-004,Supervisor_Chen,1,84.6
CF-2026-004,Supervisor_Chen,2,84.5
CF-2026-004,Supervisor_Chen,3,84.8
CF-2026-005,Supervisor_Adams,1,91.1
CF-2026-005,Supervisor_Adams,2,91.4
CF-2026-005,Supervisor_Adams,3,91.2
CF-2026-005,Supervisor_Baker,1,91.0
CF-2026-005,Supervisor_Baker,2,91.3
CF-2026-005,Supervisor_Baker,3,91.5
CF-2026-005,Supervisor_Chen,1,91.2
CF-2026-005,Supervisor_Chen,2,91.1
CF-2026-005,Supervisor_Chen,3,91.4
CF-2026-006,Supervisor_Adams,1,87.8
CF-2026-006,Supervisor_Adams,2,88.1
CF-2026-006,Supervisor_Adams,3,87.9
CF-2026-006,Supervisor_Baker,1,87.7
CF-2026-006,Supervisor_Baker,2,88.0
CF-2026-006,Supervisor_Baker,3,88.2
CF-2026-006,Supervisor_Chen,1,87.9
CF-2026-006,Supervisor_Chen,2,87.8
CF-2026-006,Supervisor_Chen,3,88.1
CF-2026-007,Supervisor_Adams,1,94.5
CF-2026-007,Supervisor_Adams,2,94.8
CF-2026-007,Supervisor_Adams,3,94.6
CF-2026-007,Supervisor_Baker,1,94.4
CF-2026-007,Supervisor_Baker,2,94.7
CF-2026-007,Supervisor_Baker,3,94.9
CF-2026-007,Supervisor_Chen,1,94.6
CF-2026-007,Supervisor_Chen,2,94.5
CF-2026-007,Supervisor_Chen,3,94.8
CF-2026-008,Supervisor_Adams,1,82.8
CF-2026-008,Supervisor_Adams,2,83.1
CF-2026-008,Supervisor_Adams,3,82.9
CF-2026-008,Supervisor_Baker,1,82.7
CF-2026-008,Supervisor_Baker,2,83.0
CF-2026-008,Supervisor_Baker,3,83.2
CF-2026-008,Supervisor_Chen,1,82.9
CF-2026-008,Supervisor_Chen,2,82.8
CF-2026-008,Supervisor_Chen,3,83.1
CF-2026-009,Supervisor_Adams,1,93.2
CF-2026-009,Supervisor_Adams,2,93.5
CF-2026-009,Supervisor_Adams,3,93.3
CF-2026-009,Supervisor_Baker,1,93.1
CF-2026-009,Supervisor_Baker,2,93.4
CF-2026-009,Supervisor_Baker,3,93.6
CF-2026-009,Supervisor_Chen,1,93.3
CF-2026-009,Supervisor_Chen,2,93.2
CF-2026-009,Supervisor_Chen,3,93.5
CF-2026-010,Supervisor_Adams,1,89.5
CF-2026-010,Supervisor_Adams,2,89.8
CF-2026-010,Supervisor_Adams,3,89.6
CF-2026-010,Supervisor_Baker,1,89.4
CF-2026-010,Supervisor_Baker,2,89.7
CF-2026-010,Supervisor_Baker,3,89.9
CF-2026-010,Supervisor_Chen,1,89.6
CF-2026-010,Supervisor_Chen,2,89.5
CF-2026-010,Supervisor_Chen,3,89.8
