Request_ID,Response_Hours,Resolution_Days,Category,Priority,District,Channel,Status
311-001,4.2,1.5,Pothole,Medium,North,Phone,Closed
311-002,2.8,0.8,Streetlight,Low,Central,App,Closed
311-003,8.5,4.2,Illegal_Dumping,High,South,Web,Closed
311-004,3.5,1.2,Pothole,Medium,East,Phone,Closed
311-005,6.2,2.8,Graffiti,Medium,North,App,Closed
311-006,2.0,0.5,Streetlight,Low,Central,Phone,Closed
311-007,4.8,1.8,Sidewalk,Medium,South,Web,Closed
311-008,12.5,6.5,Illegal_Dumping,High,East,Phone,Open
311-009,3.2,1.0,Pothole,Medium,North,App,Closed
311-010,5.5,2.2,Graffiti,Medium,Central,Web,Closed
311-011,15.0,8.0,Abandoned_Vehicle,Low,South,Phone,Open
311-012,2.5,0.6,Streetlight,Low,East,App,Closed
311-013,3.8,1.4,Pothole,Medium,North,Phone,Closed
311-014,7.2,3.5,Illegal_Dumping,High,Central,Web,Closed
311-015,4.0,1.5,Sidewalk,Medium,South,App,Closed
311-016,5.0,2.0,Graffiti,Medium,East,Phone,Closed
311-017,10.5,5.2,Abandoned_Vehicle,Low,North,Web,Closed
311-018,2.2,0.5,Streetlight,Low,Central,App,Closed
311-019,6.8,3.0,Illegal_Dumping,High,South,Phone,Closed
311-020,3.5,1.2,Pothole,Medium,East,Web,Closed
311-021,4.5,1.6,Sidewalk,Medium,North,Phone,Closed
311-022,8.0,4.0,Graffiti,Medium,Central,App,Closed
311-023,2.0,0.4,Streetlight,Low,South,Web,Closed
311-024,5.2,2.0,Pothole,Medium,East,Phone,Closed
311-025,7.5,3.2,Illegal_Dumping,High,North,App,Closed
311-026,3.0,1.0,Sidewalk,Medium,Central,Web,Closed
311-027,4.2,1.5,Graffiti,Medium,South,Phone,Closed
311-028,14.0,7.2,Abandoned_Vehicle,Low,East,App,Open
311-029,2.8,0.8,Streetlight,Low,North,Web,Closed
311-030,5.8,2.4,Pothole,Medium,Central,Phone,Closed
311-031,3.5,1.2,Sidewalk,Medium,South,App,Closed
311-032,6.5,2.8,Graffiti,Medium,East,Web,Closed
311-033,9.2,4.5,Illegal_Dumping,High,North,Phone,Closed
311-034,2.5,0.6,Streetlight,Low,Central,App,Closed
311-035,4.0,1.4,Pothole,Medium,South,Web,Closed
311-036,3.2,1.0,Sidewalk,Medium,East,Phone,Closed
311-037,7.8,3.5,Graffiti,Medium,North,App,Closed
311-038,11.5,5.8,Abandoned_Vehicle,Low,Central,Web,Closed
311-039,3.8,1.3,Pothole,Medium,South,Phone,Closed
311-040,5.0,2.0,Sidewalk,Medium,East,App,Closed
